snapshot_id,snapshot_year,k,l,AAIL,AIL,final_SE_similarity,final_SA_similarity,fake_nodes,discarded_entries,original_num_of_individuals,num_of_individuals_post_anonymization
4,1942_1955,2,3,1,1,0,1,506,1666,4708,3548
4,1942_1955,4,3,0.0006535791211752207,0.19898757356782337,0.8272,0.5017,667,333,4708,5042
4,1942_1955,6,3,0.0011396454906056285,0.1924267742034769,0.7826,0.5020,654,312,4708,5050
4,1942_1955,8,3,0.0016434561234827344,0.18971141345260167,0.7570,0.5011,653,299,4708,5062
4,1942_1955,10,3,0.0021158413400244247,0.17077612842136414,0.7376,0.5018,577,269,4708,5016
4,1942_1955,2,4,1,1,0,1,1627,1669,4708,4666
4,1942_1955,4,4,0.0006780458966379148,0.20803718733013735,0.8309,0.4998,796,286,4708,5218
4,1942_1955,6,4,0.0011938216922764637,0.19557321279297904,0.7836,0.5012,706,290,4708,5124
4,1942_1955,8,4,0.001701187692235021,0.1925529227080079,0.7560,0.5027,666,302,4708,5072
4,1942_1955,10,4,0.0021100655436927366,0.1769961816062794,0.7329,0.5023,612,271,4708,5049
5,1956_1968,2,1,0.00020606046446612693,0.5387928400151011,0.8982,0.5050,0,1654,4725,3071
5,1956_1968,4,1,0.0005849050981457765,0.2034918818423318,0.8288,0.5017,741,306,4725,5160
5,1956_1968,6,1,0.0011916254634203268,0.1882041059626403,0.7827,0.5024,681,278,4725,5128
5,1956_1968,8,1,0.0015982002225127475,0.1818523546702156,0.7530,0.4998,656,266,4725,5115
5,1956_1968,10,1,0.001919082820265711,0.18561259951967632,0.7352,0.5029,650,285,4725,5090
5,1956_1968,2,2,0.00019841401240205703,0.5488912244699184,0.8982,0.5025,7,1672,4725,3060
5,1956_1968,4,2,0.0006746840810822409,0.20079333150050085,0.8285,0.5016,672,340,4725,5057
5,1956_1968,6,2,0.001129154796048197,0.1948228484897419,0.7829,0.5037,685,304,4725,5106
5,1956_1968,8,2,0.0015780308865375326,0.19297967988535966,0.7574,0.4998,672,303,4725,5094
5,1956_1968,10,2,0.0020880603875481503,0.18608964831926708,0.7370,0.5018,620,307,4725,5038
5,1956_1968,2,3,1,1,0,1,508,1667,4725,3566
5,1956_1968,4,3,0.0006381931550249992,0.1991990644113455,0.8286,0.5015,719,302,4725,5142
5,1956_1968,6,3,0.0011491313337127706,0.18797735099366977,0.7816,0.5020,674,282,4725,5117
5,1956_1968,8,3,0.0016380553890408397,0.18802858793341953,0.7570,0.5017,645,300,4725,5070
5,1956_1968,10,3,0.0019871301856678064,0.17497383855157866,0.7388,0.5013,638,247,4725,5116
5,1956_1968,2,4,1,1,0,1,1700,1622,4725,4803
5,1956_1968,4,4,0.0006295406982398931,0.20806289349061194,0.8312,0.4998,740,326,4725,5139
5,1956_1968,6,4,0.0011468462446348631,0.19508031004111234,0.7832,0.5014,688,303,4725,5110
5,1956_1968,8,4,0.0017195295783470634,0.18891357696428793,0.7555,0.5004,669,287,4725,5107
5,1956_1968,10,4,0.0019764500155872175,0.18235866530419875,0.7371,0.5013,664,261,4725,5128
6,1969_1981,2,1,0.00021185952504324413,0.5447599457263941,0.8988,0.5024,0,1693,4802,3109
6,1969_1981,4,1,0.0006563374165569178,0.199730411490631,0.8292,0.5040,707,325,4802,5184
6,1969_1981,6,1,0.0011086993452745428,0.19795303261446834,0.7857,0.5026,709,314,4802,5197
6,1969_1981,8,1,0.001697647456963779,0.18705867614143462,0.7557,0.5030,595,342,4802,5055
6,1969_1981,10,1,0.002274266421596312,0.17254928105003398,0.7391,0.5026,599,274,4802,5127
6,1969_1981,2,2,0.00018954921460816366,0.5539564519834427,0.9000,0.5016,12,1708,4802,3106
6,1969_1981,4,2,0.0006401395115422933,0.20040897018000692,0.8293,0.5015,713,324,4802,5191
6,1969_1981,6,2,0.0010721711149026564,0.19417156339092695,0.7819,0.5016,642,343,4802,5101
6,1969_1981,8,2,0.0016793968794047958,0.19114281151355114,0.7562,0.5018,647,324,4802,5125
6,1969_1981,10,2,0.002095626395384749,0.17795169139828668,0.7359,0.5021,638,271,4802,5169
6,1969_1981,2,3,1,1,0,1,515,1688,4802,3629
6,1969_1981,4,3,0.000583086569615956,0.20402476916999837,0.8307,0.5015,746,318,4802,5230
6,1969_1981,6,3,0.001087004703989785,0.19109281527923672,0.7828,0.5035,671,310,4802,5163
6,1969_1981,8,3,0.0016876600936701455,0.19104361844307238,0.7557,0.5010,683,299,4802,5186
6,1969_1981,10,3,0.0021429962000526397,0.1825421268066521,0.7381,0.5021,586,327,4802,5061
6,1969_1981,2,4,1,1,0,1,1693,1681,4802,4814
6,1969_1981,4,4,0.000616564805163393,0.20753277229138797,0.8296,0.4997,775,314,4802,5263
6,1969_1981,6,4,0.0011409166487071978,0.19445375292849199,0.7857,0.5008,704,302,4802,5204
6,1969_1981,8,4,0.001497340435419394,0.18965472259358068,0.7567,0.5020,649,317,4802,5134
6,1969_1981,10,4,0.002028590301207887,0.19068217491360348,0.7411,0.5017,658,313,4802,5147
7,1982_1994,2,1,0.0002084583601210964,0.5494695421039635,0.8999,0.5052,0,1784,5032,3248
7,1982_1994,4,1,0.0006173677644182798,0.20289761785636387,0.8333,0.5020,753,347,5032,5438
7,1982_1994,6,1,0.0010879043538280402,0.19213654500483598,0.7875,0.5039,704,329,5032,5407
7,1982_1994,8,1,0.001660442968757123,0.1836812453461717,0.7615,0.5010,666,314,5032,5384
7,1982_1994,10,1,0.002076433360114489,0.1803856030080151,0.7426,0.5012,613,334,5032,5311
7,1982_1994,2,2,0.00018961467197873858,0.5468971185004626,0.9002,0.4999,9,1776,5032,3265
7,1982_1994,4,2,0.0006054224479969027,0.2023792583681743,0.8331,0.5019,736,356,5032,5412
7,1982_1994,6,2,0.0010687179289252122,0.19311438171091747,0.7884,0.5014,721,322,5032,5431
7,1982_1994,8,2,0.0015530202408845274,0.18497617578818057,0.7601,0.5027,668,319,5032,5381
7,1982_1994,10,2,0.0021111084569716697,0.1839967803203718,0.7436,0.5010,668,312,5032,5388
7,1982_1994,2,3,1,1,0,1,535,1772,5032,3795
7,1982_1994,4,3,0.0005798524079072368,0.20659709695019304,0.8339,0.5009,771,352,5032,5451
7,1982_1994,6,3,0.0010599892282572572,0.19075640137177152,0.7878,0.5016,717,314,5032,5435
7,1982_1994,8,3,0.001544795012468853,0.19138535860164202,0.7624,0.5021,693,331,5032,5394
7,1982_1994,10,3,0.0019852985632318725,0.1856963728215698,0.7418,0.5010,696,301,5032,5427
7,1982_1994,2,4,1,1,0,1,1766,1773,5032,5025
7,1982_1994,4,4,0.0005696600114986398,0.2090167745208742,0.8332,0.5008,803,342,5032,5493
7,1982_1994,6,4,0.0011114827118995018,0.19283663971226891,0.7870,0.5008,710,328,5032,5414
7,1982_1994,8,4,0.001521997908337933,0.18691420957220972,0.7624,0.5022,665,330,5032,5367
7,1982_1994,10,4,0.0019196033678388184,0.182314683502017,0.7436,0.5021,651,317,5032,5366
8,1995_2006,2,1,0.0001850501144658224,0.5401283928906697,0.9007,0.5058,0,1906,5436,3530
8,1995_2006,4,1,0.0005988640005067437,0.20594682423362295,0.8365,0.5019,798,400,5436,5834
8,1995_2006,6,1,0.0009639499497049944,0.19562696739753258,0.7916,0.5020,774,364,5436,5846
