data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,snapshot_id,algo,galgo,AIL,dm,am,AAIL,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges,fake+discarded
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,6,tanga,ad2,0.260204806042737,0.259195397396339,0.261214214689132,0.0130304668037259,40,3384,5673,41856,4528,3424,7425,47529,1,10,1,1144,1752,1184
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,8,tanga,ad2,0.265774059691925,0.264707261427324,0.266840857956527,0.0127750645563271,41,3575,6515,49779,4821,3616,8604,56294,1,10,1,1246,2089,1287
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,8,tanga,ad2,0.298363011624028,0.297248308508131,0.299477714739926,0.0151188300300852,47,3421,6260,47805,4821,3468,8604,54065,1,10,1,1400,2344,1447
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.145079159101611,0.144758051220001,0.145400266983221,0.0136706805637291,52,3858,6296,13177,4459,3910,7220,19473,1,4,1,601,924,653
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.12190763433646,0.121194149973985,0.122621118698934,0.0118972394847101,44,3923,5943,42126,4420,3967,7113,48069,1,10,1,497,1170,541
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.00,gs,gs,0,8,tanga,ad2,0.240900602943365,0.239992757508321,0.241808448378405,0.0145062742690794,50,3702,6798,39418,4821,3752,8604,46216,1,8,1,1119,1806,1169
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.229510546176793,0.229391704725017,0.229629387628568,0.0127829279151279,44,3440,4802,8374,4420,3484,7113,13176,1,4,1,980,2311,1024
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,9,tanga,ad2,0.264355047438615,0.263242443504623,0.265467651372607,0.0160824262338614,55,3714,7145,55409,4986,3769,9350,62554,1,10,1,1272,2205,1327
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.121491560420741,0.120774557394735,0.122208563446746,0.0116505892428844,43,3924,5951,42552,4420,3967,7113,48503,1,10,1,496,1162,539
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,8,tanga,ad2,0.0911651934815516,0.0910608840247721,0.0912695029383306,0.000115843058307036,0,4382,7800,5309,4821,4382,8604,13109,1,2,1,439,804,439
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.00,gs,gs,0,6,tanga,ad2,0.145110622156334,0.144760602391259,0.145460641921409,0.0135064054960901,52,3917,6487,13831,4528,3969,7425,20318,1,4,1,611,938,663
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.302602289724694,0.301595998402686,0.303608581046701,0.0154903063970373,45,3154,5269,38081,4471,3199,7242,43350,1,10,1,1317,1973,1362
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.232876747579241,0.232001046913581,0.233752448244899,0.0128527422706867,41,3456,5769,31704,4459,3497,7220,37473,1,8,1,1003,1451,1044
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.147120918764531,0.146764402003107,0.147477435525953,0.0137532970467713,54,3994,6778,14754,4627,4048,7777,21532,1,4,1,633,999,687
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.293827731439634,0.29274659912115,0.294908863758119,0.0152366300267037,46,3305,5697,42702,4627,3351,7777,48399,1,10,1,1322,2080,1368
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.380781779863064,0.380770141888987,0.380793417837145,0.0000207,0,2737,3267,1000,4420,2737,7113,4267,2,2,2,1683,3846,1683
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.251872608174577,0.250723314271843,0.25302190207731,0.0143895491511649,44,3374,5571,40267,4459,3418,7220,45838,1,10,1,1085,1649,1129
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,5,tanga,ad2,0.2618908975632,0.260889861136211,0.262891933990188,0.0131638621019517,40,3343,5557,40730,4483,3383,7287,46287,1,10,1,1140,1730,1180
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.231052308250126,0.23032316364835,0.231781452851899,0.0132759417870229,43,3442,5698,31001,4429,3485,7145,36699,1,8,1,987,1447,1030
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.29726775255395,0.296215330773387,0.298320174334513,0.015739339394867,46,3179,5292,38723,4471,3225,7242,44015,1,10,1,1292,1950,1338
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.152148320671834,0.151860052522968,0.1524365888207,0.0138042976816658,52,3809,6159,12736,4439,3861,7178,18895,1,4,1,630,1019,682
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.295144889598409,0.294092226162024,0.296197553034793,0.015792512465884,46,3166,5287,38684,4439,3212,7178,43971,1,10,1,1273,1891,1319
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.215888434090557,0.215850884487854,0.215925983693256,0.0000491,0,3473,5047,2616,4429,3473,7145,7663,1,2,1,956,2098,956
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.200206436354755,0.199644484387919,0.200768388321588,0.0128100724895014,44,3588,5858,21681,4439,3632,7178,27539,1,6,1,851,1320,895
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.00,gs,gs,0,9,tanga,ad2,0.239786671334927,0.238842290677268,0.240731051992586,0.0153559092413278,55,3837,7449,44042,4986,3892,9350,51491,1,8,1,1149,1901,1204
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.233869525327519,0.233036954918686,0.234702095736351,0.012866343147085,41,3436,5725,31300,4439,3477,7178,37025,1,8,1,1003,1453,1044
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.133712611638987,0.13321635548043,0.134208867797543,0.0105597768987746,39,3865,5828,30821,4420,3904,7113,36649,1,8,1,555,1285,594
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.126726152863897,0.126009656653221,0.127442649074572,0.012955521640779,48,3905,5938,42331,4420,3953,7113,48269,1,10,1,515,1175,563
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,6,tanga,ad2,0.294463190902574,0.293398491578702,0.295527890226446,0.0155203064022453,46,3232,5444,40213,4528,3278,7425,45657,1,10,1,1296,1981,1342
