snapshot_id,snapshot_year,k,l,AAIL,AIL,final_SE_similarity,final_SA_similarity,fake_nodes,discarded_entries,original_num_of_individuals,num_of_individuals_post_anonymization,fake+discarded
3,1929_1941,10,4,0.00208649491916332,0.180679643104852,0.7371,0.5017,547,334,4720,4933,881
4,1942_1955,2,1,0.000120877286576299,0.26045080658744,0.9575,0.4944,1657,0,4708,6365,1657
4,1942_1955,4,1,0.000627921130324871,0.198601420740613,0.8285,0.5016,720,296,4708,5132,1016
4,1942_1955,6,1,0.00122722319441392,0.190759340561583,0.7817,0.5028,646,310,4708,5044,956
4,1942_1955,8,1,0.00170664834254809,0.187902474987813,0.7558,0.5021,602,326,4708,4984,928
4,1942_1955,10,1,0.00193734227314563,0.184092027642325,0.7358,0.5021,680,255,4708,5133,935
4,1942_1955,2,2,0.000122962558328599,0.262307573120936,0.9582,0.4951,1673,0,4708,6381,1673
4,1942_1955,4,2,0.000628243120675992,0.199301154908342,0.829,0.5025,717,301,4708,5124,1018
4,1942_1955,6,2,0.00115504788935253,0.187582504987636,0.781,0.5021,688,268,4708,5128,956
4,1942_1955,8,2,0.00170659454262819,0.185122191778561,0.7554,0.5013,643,286,4708,5065,929
4,1942_1955,10,2,0.00213470171637928,0.17596205686025,0.7355,0.5027,624,258,4708,5074,882
4,1942_1955,2,3,1,1,0,1,506,1666,4708,3548,2172
4,1942_1955,4,3,0.000653579121175221,0.198987573567823,0.8272,0.5017,667,333,4708,5042,1000
4,1942_1955,6,3,0.00113964549060563,0.192426774203477,0.7826,0.502,654,312,4708,5050,966
4,1942_1955,8,3,0.00164345612348273,0.189711413452602,0.757,0.5011,653,299,4708,5062,952
4,1942_1955,10,3,0.00211584134002442,0.170776128421364,0.7376,0.5018,577,269,4708,5016,846
4,1942_1955,2,4,1,1,0,1,1627,1669,4708,4666,3296
4,1942_1955,4,4,0.000678045896637915,0.208037187330137,0.8309,0.4998,796,286,4708,5218,1082
4,1942_1955,6,4,0.00119382169227646,0.195573212792979,0.7836,0.5012,706,290,4708,5124,996
4,1942_1955,8,4,0.00170118769223502,0.192552922708008,0.756,0.5027,666,302,4708,5072,968
4,1942_1955,10,4,0.00211006554369274,0.176996181606279,0.7329,0.5023,612,271,4708,5049,883
5,1956_1968,2,1,0.000119554224297413,0.259872021716072,0.9577,0.4945,1658,0,4725,6383,1658
5,1956_1968,4,1,0.000584905098145777,0.203491881842332,0.8288,0.5017,741,306,4725,5160,1047
5,1956_1968,6,1,0.00119162546342033,0.18820410596264,0.7827,0.5024,681,278,4725,5128,959
5,1956_1968,8,1,0.00159820022251275,0.181852354670216,0.753,0.4998,656,266,4725,5115,922
5,1956_1968,10,1,0.00191908282026571,0.185612599519676,0.7352,0.5029,650,285,4725,5090,935
