snapshot_id,snapshot_year,k,l,AAIL,AIL,final_SE_similarity,final_SA_similarity,fake_nodes,discarded_entries,original_num_of_individuals,num_of_individuals_post_anonymization
5,1942_1957,8,3,0.0017122571641580413,0.2585117511553029,0.8505,0.5028,484,328,3006,3162
5,1942_1957,10,3,0.0020509094817500718,0.2632378342675324,0.8384,0.5025,484,339,3006,3151
5,1942_1957,2,4,1,1,0,1,MAX,MAX,NA,NA
5,1942_1957,4,4,0.0006546048754332966,0.24891586886091863,0.9113,0.4980,561,260,3006,3307
5,1942_1957,6,4,0.001098325713314073,0.24932089140110386,0.8733,0.5039,516,287,3006,3235
5,1942_1957,8,4,0.0016013243393714015,0.2546287303304485,0.8525,0.5041,463,331,3006,3138
5,1942_1957,10,4,0.002079293429996208,0.2616700862688709,0.8371,0.5036,467,345,3006,3128
6,1958_1973,2,1,0.00026797918768870426,0.5527932317129411,0.9564,0.5064,0,1094,3074,1980
6,1958_1973,4,1,0.0005519204226585737,0.2410884330903188,0.9120,0.5043,544,263,3074,3355
6,1958_1973,6,1,0.0010381523145388779,0.24339821282891103,0.8764,0.5041,516,285,3074,3305
6,1958_1973,8,1,0.0014841847251175202,0.25494330422197287,0.8541,0.5012,456,350,3074,3180
6,1958_1973,10,1,0.0018167456728880752,0.2568957524448971,0.8362,0.5071,409,382,3074,3101
6,1958_1973,2,2,0.0002759153928882514,0.5720668844441313,0.9568,0.5033,12,1115,3074,1971
6,1958_1973,4,2,0.0005039773409493768,0.2459208904101392,0.9129,0.5030,569,261,3074,3382
6,1958_1973,6,2,0.000980866189339835,0.24433835411204513,0.8775,0.5033,522,284,3074,3312
6,1958_1973,8,2,0.0013690183811186267,0.2560274034742863,0.8547,0.5056,483,337,3074,3220
6,1958_1973,10,2,0.0018734536669340975,0.26206154144122873,0.8385,0.5036,473,357,3074,3190
6,1958_1973,2,3,1,1,0,1,MAX,MAX,NA,NA
6,1958_1973,4,3,0.0005923535971392799,0.24357742822400497,0.9118,0.5027,545,269,3074,3350
6,1958_1973,6,3,0.000976724699030481,0.2514315458027297,0.8779,0.5046,525,301,3074,3298
6,1958_1973,8,3,0.0014999465690892215,0.25891024298094567,0.8544,0.5045,478,347,3074,3205
6,1958_1973,10,3,0.0019833885521525698,0.26708192637796313,0.8376,0.5052,453,381,3074,3146
6,1958_1973,2,4,1,1,0,1,MAX,MAX,NA,NA
6,1958_1973,4,4,0.0005763401001754278,0.2615597558697419,0.9133,0.4992,630,267,3074,3437
6,1958_1973,6,4,0.0010999151942802435,0.24708111022006124,0.8762,0.5026,517,294,3074,3297
6,1958_1973,8,4,0.001493082585901092,0.24311231092239696,0.8510,0.5054,426,338,3074,3162
6,1958_1973,10,4,0.0020653117475752567,0.254832839422852,0.8350,0.5041,500,322,3074,3252
7,1974_1989,2,1,0.00027032207489774456,0.5717703220748978,0.9552,0.5086,0,1143,3143,2000
7,1974_1989,4,1,0.0004941586170207265,0.23904212750206827,0.9103,0.5044,578,250,3143,3471
7,1974_1989,6,1,0.001172428924120766,0.2474763910766932,0.8736,0.5035,536,297,3143,3382
7,1974_1989,8,1,0.001975174772692368,0.24734277788088124,0.8495,0.5033,512,309,3143,3346
7,1974_1989,10,1,0.002097160171921035,0.2469194167407,0.8345,0.5044,442,350,3143,3235
7,1974_1989,2,2,0.0002714272627475731,0.5893056324941359,0.9557,0.5005,8,1163,3143,1988
7,1974_1989,4,2,0.0005351563398497816,0.23642811736370087,0.9101,0.5013,553,258,3143,3438
7,1974_1989,6,2,0.0011874862677272236,0.24169756930450065,0.8741,0.5037,520,291,3143,3372
7,1974_1989,8,2,0.00163529387985385,0.2569479836187731,0.8541,0.5022,496,345,3143,3294
7,1974_1989,10,2,0.002169184595721062,0.25809187786255394,0.8347,0.5054,443,378,3143,3208
7,1974_1989,2,3,1,1,0,1,MAX,MAX,NA,NA
7,1974_1989,4,3,0.0004983489681629908,0.23491884984177977,0.9093,0.5020,548,257,3143,3434
7,1974_1989,6,3,0.001188297032676062,0.2392135688516593,0.8732,0.5021,535,275,3143,3403
7,1974_1989,8,3,0.0017907780559579334,0.24629544532485284,0.8495,0.5038,495,317,3143,3321
7,1974_1989,10,3,0.0022020470609557634,0.2456171242634989,0.8370,0.5026,482,322,3143,3303
7,1974_1989,2,4,1,1,0,1,MAX,MAX,NA,NA
7,1974_1989,4,4,0.0005197743337881176,0.24886319121653086,0.9105,0.5007,595,267,3143,3471
7,1974_1989,6,4,0.0011038765954313494,0.24198195431717565,0.8736,0.5029,520,292,3143,3371
7,1974_1989,8,4,0.0016617630638206553,0.24715455152535912,0.8487,0.5040,501,316,3143,3328
7,1974_1989,10,4,0.0021372745813409435,0.2698752976256102,0.8374,0.5041,519,364,3143,3298
8,1990_2004,2,1,0.0002650566426552272,0.5833328763968655,0.9513,0.5076,0,1281,3478,2197
8,1990_2004,4,1,0.0005019759058585929,0.23763725442044745,0.9062,0.5027,593,301,3478,3770
8,1990_2004,6,1,0.0009629688207817103,0.237854606357754,0.8709,0.5065,561,320,3478,3719
8,1990_2004,8,1,0.001517367109348757,0.23784121831284985,0.8522,0.5043,521,343,3478,3656
8,1990_2004,10,1,0.0019189088727208947,0.2471382564542732,0.8364,0.5056,475,397,3478,3556
8,1990_2004,2,2,0.0002754141779553722,0.5847027568669549,0.9517,0.5060,11,1280,3478,2209
8,1990_2004,4,2,0.0005057551248362711,0.23666040507258967,0.9068,0.5045,627,277,3478,3828
8,1990_2004,6,2,0.0009852321784357225,0.2338250706710333,0.8705,0.5048,551,314,3478,3715
8,1990_2004,8,2,0.0014928825017798443,0.24246685395434073,0.8491,0.5054,478,383,3478,3573
8,1990_2004,10,2,0.001770237974120864,0.24273409339580762,0.8361,0.5054,527,353,3478,3652
8,1990_2004,2,3,1,1,0,1,MAX,MAX,NA,NA
8,1990_2004,4,3,0.0004866809294112889,0.23743236447703658,0.9071,0.5034,618,285,3478,3811
8,1990_2004,6,3,0.001172710480475819,0.23480245987417023,0.8703,0.5019,550,317,3478,3711
8,1990_2004,8,3,0.0017848129912699162,0.2521878221261436,0.8504,0.5027,588,344,3478,3722
8,1990_2004,10,3,0.0023600163922607754,0.2496836507595405,0.8381,0.5033,533,368,3478,3643
8,1990_2004,2,4,1,1,0,1,MAX,MAX,NA,NA
8,1990_2004,4,4,0.0005095833229843045,0.2489663734464411,0.9083,0.5004,688,278,3478,3888
8,1990_2004,6,4,0.0009536785216773129,0.24001995166361453,0.8719,0.5041,570,321,3478,3727
8,1990_2004,8,4,0.0016565567111900415,0.23977736208031755,0.8496,0.5038,567,320,3478,3725
8,1990_2004,10,4,0.0020776388726128545,0.24518540829617175,0.8361,0.5038,493,380,3478,3591
9,2005_2017,2,1,0.00028154369390983653,0.6001959638907434,0.9507,0.5122,0,1402,3739,2337
9,2005_2017,4,1,0.0005371902990199812,0.23351122263610963,0.9058,0.5027,647,304,3739,4082
