data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,radm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,2,tanga,ad2,0.628432658985351,0.628298852207214,0.62856646576349,0.000467667512188175,0,397,203,1904,1068,397,2212,2107,1,10,1,671,2009
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,7,tanga,ad2,0.62061105809611,0.620466882153855,0.620755234038368,0.000497460049389053,0,635,311,2824,1673,635,4576,3135,1,10,1,1038,4265
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.45145277527176,0.451268676161867,0.451636874381654,0.000461887649556069,0,495,299,2311,902,495,1702,2610,1,10,1,407,1403
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,4,tanga,ad2,0.337527824141576,0.337430226413583,0.337625421869565,0.000213466545001681,0,870,977,1027,1313,870,3146,2004,1,2,1,443,2169
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,3,tanga,ad2,0.571898481789228,0.571694236215869,0.572102727362584,0.000578718224426518,0,511,315,2305,1193,511,2685,2620,1,8,1,682,2370
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.25,gs,gs,0.25,6,tanga,ad2,0.597879454364234,0.597702912517513,0.598055996210956,0.000607973334901496,0,620,328,2959,1541,620,4068,3287,1,10,1,921,3740
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.51244234604269,0.512254425986106,0.512630266099274,0.000570635355061971,0,440,231,2136,902,440,1702,2367,1,10,1,462,1471
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.25,gs,gs,0.25,6,tanga,ad2,0.612201629406375,0.611968512823407,0.612434745989341,0.000730755604810836,0,598,354,3230,1541,598,4068,3584,1,10,1,943,3714
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.25,gs,gs,0.25,7,tanga,ad2,0.609922404585717,0.609708392031384,0.610136417140051,0.000663238225007622,0,653,356,3263,1673,653,4576,3619,1,10,1,1020,4220
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,5,tanga,ad2,0.607993298920936,0.607843650489486,0.608142947352388,0.000507750785919203,0,562,258,2267,1433,562,3578,2525,1,10,1,871,3320
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.609759967977521,0.609542765022675,0.609977170932366,0.0111933189912253,7,656,388,3495,1673,663,4576,3883,1,10,1,1017,4188
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,4,tanga,ad2,0.553955933277673,0.553721818663792,0.554190047891551,0.000626169595193705,0,586,370,2618,1313,586,3146,2988,1,8,1,727,2776
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.517937243316354,0.517775232176833,0.518099254455873,0.000453440271769801,0,435,213,2007,902,435,1702,2220,1,10,1,467,1489
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,8,tanga,ad2,0.60670503356923,0.606542240194689,0.606867826943773,0.000511484584774312,0,700,352,3258,1779,700,5128,3610,1,10,1,1079,4776
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,5,tanga,ad2,0.332306636118757,0.332206308385386,0.332406963852124,0.000217609286296317,0,957,1071,1119,1433,957,3578,2190,1,2,1,476,2507
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.625991327510404,0.625780245638202,0.626202409382609,0.0146367492020091,7,494,285,2568,1313,501,3146,2853,1,10,1,819,2861
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.432592181638227,0.432436725974798,0.432747637301656,0.000430097292327735,0,512,302,1918,902,512,1702,2220,1,8,1,390,1400
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.591876756919824,0.591664467279611,0.592089046560038,0.0163570134459035,7,439,293,2565,1068,446,2212,2858,1,10,1,629,1919
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.25,gs,gs,0.25,8,tanga,ad2,0.605094817736134,0.604861982007943,0.605327653464327,0.000713423415665,0,703,412,3728,1779,703,5128,4140,1,10,1,1076,4716
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.25,gs,gs,0.25,2,tanga,ad2,0.628444244789185,0.628300824811683,0.628587664766686,0.000503319957667876,0,397,210,1932,1068,397,2212,2142,1,10,1,671,2002
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,7,tanga,ad2,0.56389087557093,0.563680697152377,0.564101053989485,0.000566922712345779,0,730,468,3415,1673,730,4576,3883,1,8,1,943,4108
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.25,gs,gs,0.25,5,tanga,ad2,0.625490556555029,0.625277880719109,0.625703232390953,0.000646787783564996,0,537,311,2814,1433,537,3578,3125,1,10,1,896,3267
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.0322377240513199,0.0317215363511661,0.0327539117514738,0.000784852349935869,0,523,411,3856,540,523,847,4267,1,10,1,17,436
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,3,tanga,ad2,0.444464329535191,0.444287506964699,0.444641152105684,0.000392055659475693,0,663,555,1768,1193,663,2685,2323,1,4,1,530,2130
